group,unweighted_n,weighted_rate,unweighted_rate
4,457,0.4710820186460325,0.47921225382932164
3,710,0.3929683864721239,0.376056338028169
2,1322,0.1934038559325272,0.20196671709531014
1,3434,0.09661781096485346,0.10163075131042516
0,22854,0.0337619358295555,0.03194189201015139
