version,model,n_features,MAE,RMSE,R2,high_cost_MAE
A_baseline_adult,linear_regression,23,9526.773040972868,19410.552300661206,0.15685671787193523,39562.920293021314
B_baseline_plus_saq,linear_regression,26,9548.377291509203,19435.295515446025,0.15470578761934484,39518.660085349125
A_baseline_adult,elastic_net,23,9501.098639326665,19473.437584915282,0.15138472594141028,40411.92754668359
B_baseline_plus_saq,elastic_net,26,9501.08166110889,19484.21008871746,0.15044557590419017,40342.28922601094
A_baseline_adult,gradient_boosting,23,9381.742212942776,19719.355846331688,0.12981609413505468,40366.398422389095
B_baseline_plus_saq,random_forest,26,9538.472521761387,19740.039096446635,0.12798969873863886,39772.1177594003
A_baseline_adult,random_forest,23,9577.047790406452,19790.4231365847,0.12353261821515382,39892.7032161939
B_baseline_plus_saq,gradient_boosting,26,9417.668152401819,19903.063211658642,0.11352714174218181,40777.48765809479
