objective,model,log_MAE,log_RMSE,dollar_MAE,dollar_RMSE,dollar_R2,high_cost_MAE,capture_rate_top20pct
Objective 3: robust / skew-aware,gradient_boosting_log1p,1.8425241034525932,2.4933362952682394,7812.583616714775,20766.996748920206,0.03489850527696392,48779.78791739661,0.4821664464993395
Objective 3: robust / skew-aware,random_forest_log1p,1.8850273115958625,2.54715052672426,7908.664913698355,20927.772243745134,0.019897269903180748,49686.74530057104,0.4702774108322325
Objective 3: robust / skew-aware,elastic_net_log1p,1.9638937509677357,2.597265896781105,8051.869517810391,21315.235696698466,-0.016730559073713236,51335.334036243075,0.42536327608982827
Objective 3: robust / skew-aware,linear_regression_log1p,1.9223016888486397,2.5276595486745186,8236.784448462924,20934.388678085354,0.019277441821556218,47271.54567640986,0.45442536327608984
