objective,model,n_features,MAE,RMSE,R2,high_cost_MAE
Objective 2: interpretable model,lasso_regression,23,9516.631072971333,19407.774399533864,0.15709803002424716,39573.34394905268
Objective 2: interpretable model,ridge_regression,23,9525.435409733553,19409.013307242018,0.15699041221528143,39567.83428694036
Objective 2: interpretable model,linear_regression,23,9526.773040972868,19410.552300661206,0.15685671787193523,39562.920293021314
Objective 2: interpretable model,shallow_regression_tree,23,9676.347902276855,19843.15970599029,0.118855258108298,41992.49242091639
