segment,threshold,n,MAE,RMSE,capture_rate
Top 10% high-cost adults,24412.0,379,48779.78791739661,63538.35264963491,0.31926121372031663
Top 20% high-cost adults,11621.0,757,29904.829471321165,45784.68881073192,0.4821664464993395
Top 30% high-cost adults,6756.0,1135,21850.80487257218,37584.37477678216,0.5806167400881057
