threshold,precision,recall,f1,predicted_positive_rate
0.1,0.0841813135985199,0.9934497816593887,0.15521064301552107,0.7512161223071577
0.15,0.09664864864864865,0.9759825327510917,0.17588038559905567,0.6428075052119527
0.2,0.11035353535353536,0.9541484716157205,0.19782707107288366,0.5503822098679638
0.25,0.12807589682774978,0.9432314410480349,0.2255285826155051,0.4687977762334955
0.3,0.14596491228070174,0.9082969432314411,0.25151148730350664,0.39610840861709523
0.4,0.19059656218402427,0.8231441048034934,0.30952380952380953,0.2749131341209173
0.5,0.24415204678362573,0.7292576419213974,0.3658269441401972,0.1901320361362057
