objective,model,roc_auc,average_precision,precision_050,recall_050,f1_050,lift_top_10pct,lift_top_20pct,lift_top_30pct
Objective 3: lift/cost-sensitive screening,random_forest_balanced,0.8758858237731668,0.39939646761214476,0.24415204678362573,0.7292576419213974,0.3658269441401972,5.3019923580786035,3.7117903930131004,2.837770599764164
Objective 3: lift/cost-sensitive screening,gradient_boosting_weighted_loss,0.8739748167747298,0.39554706204119183,0.21739130434782608,0.7751091703056768,0.3395504543280727,5.389267952450267,3.7117903930131004,2.8159415951505937
Objective 3: lift/cost-sensitive screening,logistic_balanced,0.8748918343787453,0.39619390907795965,0.21755253399258342,0.7685589519650655,0.33911368015414256,5.389267952450267,3.700873362445415,2.8450469346353544
Objective 3: lift/cost-sensitive screening,logistic_oversampled,0.8730224731700645,0.393628256669357,0.21666666666666667,0.7663755458515283,0.33782483156881615,5.367449053857351,3.700873362445415,2.8450469346353544
Objective 3: lift/cost-sensitive screening,logistic_undersampled,0.8742974501109366,0.38453962140056164,0.21663674446439257,0.7903930131004366,0.3400657585720996,5.236535662299855,3.657205240174673,2.830494264892974
