objective,model,n_features,accuracy,precision,recall,f1,roc_auc,average_precision
Objective 2: interpretable model,logistic_regression_unweighted,24,0.9389854065323141,0.5629139072847682,0.185589519650655,0.2791461412151067,0.8760799547308644,0.4004340988480536
Objective 2: interpretable model,logistic_regression_balanced,24,0.8093120222376651,0.21755253399258342,0.7685589519650655,0.33911368015414256,0.8748918343787453,0.39619390907795965
Objective 2: interpretable model,shallow_tree_unweighted,24,0.9356497567755385,0.4825174825174825,0.15065502183406113,0.22961730449251247,0.8538315422942973,0.29778122167029275
Objective 2: interpretable model,shallow_tree_balanced,24,0.8076441973592773,0.21134663341645885,0.740174672489083,0.3288069835111542,0.849458410278116,0.2915518816813556
