segment,threshold,n,MAE,RMSE
Top 10% high-cost adults,24412.0,379,39562.920293021314,55920.32937861595
Top 20% high-cost adults,11621.0,757,23748.058042793113,40168.328939240884
Top 30% high-cost adults,6756.0,1135,18132.192730558716,33262.83701344591
