version,model,n_features,accuracy,precision,recall,f1,roc_auc,average_precision
A_baseline_adult_income,random_forest_balanced,24,0.8390548992355803,0.24415204678362573,0.7292576419213974,0.3658269441401972,0.8758858237731668,0.39939646761214476
B_baseline_plus_paradata,random_forest_balanced,33,0.8519805420430855,0.257781324820431,0.7052401746724891,0.37755698421975453,0.8756015953092257,0.4018419264642208
B_baseline_plus_paradata,gradient_boosting,33,0.9409312022237665,0.6122448979591837,0.1965065502183406,0.2975206611570248,0.8754696899673509,0.40062211299946865
A_baseline_adult_income,gradient_boosting,24,0.9405142460041696,0.6071428571428571,0.185589519650655,0.2842809364548495,0.8752856058538748,0.4025569087137121
A_baseline_adult_income,logistic_regression_balanced,24,0.8093120222376651,0.21755253399258342,0.7685589519650655,0.33911368015414256,0.8748918343787453,0.39619390907795965
B_baseline_plus_paradata,logistic_regression_balanced,33,0.8109798471160529,0.2191780821917808,0.7685589519650655,0.34108527131782945,0.874340878405313,0.39907855694911326
A_baseline_adult_income,decision_tree_balanced,24,0.8234885337039611,0.22418478260869565,0.7205240174672489,0.34196891191709844,0.852030240352923,0.3163018142164606
B_baseline_plus_paradata,decision_tree_balanced,33,0.8234885337039611,0.22418478260869565,0.7205240174672489,0.34196891191709844,0.8518035381744429,0.3117916004416651
