group,unweighted_n,weighted_rate,unweighted_rate
4,7294,0.08009204589320382,0.07567863997806416
3,10688,0.0675256159469112,0.06231287425149701
2,6338,0.06621101455953336,0.06042915746292206
1,4457,0.05021397201054888,0.05182858424949518
