group,unweighted_n,weighted_rate,unweighted_rate
Near poor: 100% to <125% FPL,1118,0.08629961209297203,0.07692307692307693
Low income: 125% to <200% FPL,4100,0.08052044294694594,0.07439024390243902
Poor: below 100% FPL,3045,0.07860536969300914,0.0742200328407225
Middle income: 200% to <400% FPL,8450,0.07049305037058294,0.06792899408284024
High income: 400%+ FPL,12064,0.056136966062264926,0.053133289124668436
